變異點編號,權責單位,查證結果,變異類型,latitude,longitude
H121001004003,桃園市,合法,新增建物,25.04000,121.06000
H121001200020,桃園市,違規,新增建物,25.03000,121.09000
H061001000021,桃園市,合法,新增建物,25.05000,121.18000
H061001000013,桃園市,違規,新增建物,25.09000,121.20000
H061001200034,桃園市,違規,新增建物,25.01000,121.24000
H051001004005,桃園市,合法,新增建物,25.08000,121.27000
H041001000007,桃園市,違規,新增建物,24.93000,121.09000
H121000800013,桃園市,合法,新增建物,25.04000,121.11000
H061001200010,桃園市,合法,其他,25.08000,121.17000
H061001200017,桃園市,合法,其他,25.07000,121.18000
H061001000022,桃園市,合法,新增建物,25.06000,121.19000
H061001200031,桃園市,違規,新增建物,25.01000,121.23000
H031001200035,桃園市,違規,道路變化,25.01000,121.24000
H051001000037,桃園市,違規,新增建物,25.04000,121.27000
H011000800029,桃園市,合法,自然植被改變,25.01000,121.32000
H071000800030,桃園市,合法,新增建物,25.01000,121.37000
H121001200022,桃園市,違規,新增建物,25.03000,121.15000
H061001000012,桃園市,合法,新增建物,25.08000,121.17000
H061001200023,桃園市,違規,新增建物,25.04000,121.20000
H051001200024,桃園市,合法,自然植被改變,25.03000,121.25000
H051001200042,桃園市,違規,新增建物,25.04000,121.28000
H051001200040,桃園市,違規,新增建物,25.05000,121.28000
H051001000033,桃園市,違規,新增建物,25.10000,121.28000
H111001200003,桃園市,違規,新增建物,24.97000,121.07000
H061001200032,桃園市,違規,新增建物,25.01000,121.23000
H051001000011,桃園市,違規,新增建物,25.10000,121.26000
H021000800020,桃園市,違規,新增建物,24.91000,121.27000
H071001000042,桃園市,合法,新增建物,25.01000,121.37000
H111001004001,桃園市,違規,新增建物,24.97000,121.05000
H121000800011,桃園市,合法,新增建物,25.06000,121.14000
H061001000015,桃園市,違規,新增建物,25.09000,121.20000
H091000600008,桃園市,違規,新增建物,24.88000,121.22000
H051001000035,桃園市,違規,新增建物,25.06000,121.26000
H111001000001,桃園市,違規,新增建物,24.98000,121.07000
H111001200001,桃園市,違規,新增建物,24.98000,121.07000
H111001200004,桃園市,合法,整地,24.97000,121.09000
H121001000024,桃園市,合法,整地,25.03000,121.11000
H111000600005,桃園市,違規,新增建物,24.95000,121.14000
H061001200015,桃園市,違規,新增建物,25.07000,121.20000
H051000600027,桃園市,合法,新增建物,25.03000,121.26000
H051000600025,桃園市,違規,新增建物,25.10000,121.27000
H111001000003,桃園市,合法,新增建物,24.98000,121.10000
H121001200026,桃園市,合法,新增建物,25.01000,121.10000
H031001000030,桃園市,違規,新增建物,25.00000,121.22000
H021000800021,桃園市,違規,其他,24.88000,121.26000
H061001000034,桃園市,違規,其他,25.08000,121.26000
H111001200005,桃園市,違規,新增建物,24.96000,121.10000
H111001200006,桃園市,違規,整地,24.95000,121.12000
H041000600006,桃園市,違規,新增建物,24.93000,121.13000
H041000600007,桃園市,違規,新增建物,24.95000,121.14000
H061000800010,桃園市,合法,其他,25.09000,121.23000
H031000800001,桃園市,違規,新增建物,24.99000,121.25000
H121000600020,桃園市,合法,其他,25.01000,121.16000
H061001200014,桃園市,違規,新增建物,25.09000,121.19000
