變異點編號,權責單位,查證結果,變異類型,latitude,longitude
U071020700003,花蓮縣,合法,整地,23.70000,121.41000
U051020700006,花蓮縣,合法,整地,23.93000,121.57000
U061020900009,花蓮縣,合法,作物變化,23.82000,121.51000
U051020900013,花蓮縣,合法,作物變化,23.94000,121.58000
U061020900004,花蓮縣,合法,新增建物,23.85000,121.49000
U051020500007,花蓮縣,合法,整地,23.95000,121.60000
U051020900011,花蓮縣,合法,作物變化,23.96000,121.55000
U091020500006,花蓮縣,合法,新增建物,23.50000,121.37000
U071020500003,花蓮縣,合法,其他,23.69000,121.46000
U091020500002,花蓮縣,違規,其他,23.49000,121.37000
U121020900007,花蓮縣,合法,其他,23.81000,121.44000
U051020900012,花蓮縣,違規,新增建物,23.96000,121.60000
U041020700008,花蓮縣,合法,其他,24.06000,121.61000
U091020500001,花蓮縣,違規,其他,23.49000,121.35000
U061020700007,花蓮縣,合法,自然植被改變,23.86000,121.53000
U061020900016,花蓮縣,合法,作物變化,23.86000,121.53000
U031020700002,花蓮縣,合法,其他,23.47000,121.40000
U061020900006,花蓮縣,合法,作物變化,23.83000,121.50000
U021020900003,花蓮縣,合法,自然植被改變,23.64000,121.45000
U031020900001,花蓮縣,合法,其他,23.34000,121.31000
U021020900002,花蓮縣,合法,作物變化,23.64000,121.43000
U061020900017,花蓮縣,合法,作物變化,23.82000,121.51000
U051020700005,花蓮縣,合法,整地,23.94000,121.57000
U091020500005,花蓮縣,合法,新增建物,23.50000,121.37000
U061020900018,花蓮縣,合法,作物變化,23.83000,121.51000
U091020700001,花蓮縣,違規,其他,23.48000,121.40000
U061020900015,花蓮縣,合法,自然植被改變,23.87000,121.52000
U091020500004,花蓮縣,合法,其他,23.50000,121.37000
U071020900008,花蓮縣,合法,作物變化,23.80000,121.48000
U061020900005,花蓮縣,合法,作物變化,23.83000,121.48000
U071020700004,花蓮縣,合法,作物變化,23.77000,121.48000
U051020900014,花蓮縣,合法,作物變化,23.95000,121.60000
U051020900010,花蓮縣,合法,整地,23.99000,121.55000
