變異點編號,權責單位,查證結果,變異類型,latitude,longitude
S041020700008,高雄市,違規,整地,22.75000,120.37000
S181020700001,高雄市,合法,整地,22.75000,120.24000
S181020700004,高雄市,違規,新增建物,22.76000,120.24000
7021020502001,高雄港務分公司,無法辨識變異點位置,其他,22.54000,120.32000
S081020500005,高雄市,合法,整地,22.51000,120.37000
S081020700005,高雄市,合法,其他,22.50000,120.40000
S201020700013,高雄市,合法,其他,22.89000,120.51000
S101020504001,高雄市,合法,其他,22.88000,120.21000
S191020500001,高雄市,違規,新增建物,22.88000,120.23000
S191020700002,高雄市,合法,新增建物,22.89000,120.23000
S081020500003,高雄市,違規,整地,22.50000,120.40000
S081020700009,高雄市,違規,新增建物,22.53000,120.41000
S061020500004,高雄市,違規,採礦變化,22.54000,120.41000
S201020700011,高雄市,違規,其他,22.92000,120.50000
S111020502001,高雄市,合法,其他,22.84000,120.20000
E101020502001,高雄市,合法,新增人工構造物,22.61000,120.27000
S091020700015,高雄市,違規,新增建物,22.78000,120.28000
E111020902001,高雄市,合法,新增人工構造物,22.53000,120.32000
S081020900003,高雄市,違規,其他,22.49000,120.40000
S091020700014,高雄市,合法,新增建物,22.82000,120.26000
2131020700001,南區水資源局,合法,其他,22.81000,120.39000
E111020904001,高雄市,合法,其他,22.52000,120.34000
S081020900004,高雄市,合法,整地,22.51000,120.37000
S121020700006,高雄市,違規,其他,22.74000,120.27000
S171020900007,高雄市,合法,新增建物,22.77000,120.36000
S181020900002,高雄市,合法,其他,22.80000,120.23000
S171020700017,高雄市,合法,其他,22.78000,120.36000
S211020900008,高雄市,合法,其他,22.93000,120.65000
S151020500006,高雄市,違規,自然植被改變,22.88000,120.34000
S211020700018,高雄市,違規,新增建物,22.90000,120.62000
S101020900001,高雄市,合法,新增建物,22.89000,120.19000
S131020500002,高雄市,違規,新增建物,22.75000,120.25000
S161020700012,高雄市,合法,整地,22.88000,120.26000
S121020700007,高雄市,合法,整地,22.73000,120.27000
S161020500007,高雄市,違規,新增建物,22.86000,120.27000
S091020500008,高雄市,違規,新增建物,22.80000,120.27000
S221020700010,高雄市,合法,其他,22.93000,120.45000
7021020502002,高雄港務分公司,合法,新增人工構造物,22.53000,120.33000
S201020900005,高雄市,合法,作物變化,22.89000,120.50000
S111020700003,高雄市,違規,新增建物,22.82000,120.24000
S091020900006,高雄市,合法,新增建物,22.82000,120.26000
S101020502001,高雄市,合法,新增人工構造物,22.87000,120.19000
S171020700016,高雄市,合法,新增建物,22.78000,120.34000
