變異點編號,權責單位,查證結果,變異類型,latitude,longitude
AF0210806016,新北市,合法,非農業核准開發案件,25.11226,121.30569
AF1610802093,新北市,違規,其他開挖整地,24.96559,121.34552
AF1510813007,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.93367,121.35330
AF0210806026,新北市,合法,其他,25.08455,121.36637
AF1510815007,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.93027,121.39524
AF0310802074,新北市,違規,其他開挖整地,25.10923,121.41431
AF0610815049,新北市,違規,堆積土石,25.03807,121.41852
21110815001,臺北水源特定區管理局,合法,其他,24.72827,121.43821
AF2710801111,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.21527,121.48610
21010815002,第十河川局,已知工程,工程施作,25.07967,121.50155
AF3010802018,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.21849,121.52199
AF3110801118,新北市,違規,其他開挖整地,25.28017,121.52840
AF3010802015,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.23884,121.54005
AF3010802016,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.22398,121.54784
AF0710815040,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.95335,121.55016
AF3110813115,新北市,違規,違規農業使用,25.25887,121.58885
F2510804008,新北市,違規,新增水域(漁塭或水塘),25.23095,121.62478
F2610802007,新北市,合法,其他,25.21825,121.64476
AF2610813022,新北市,合法,其他,25.19687,121.65447
80110802048,新北市,合法,自然植被改變,25.05678,121.66972
AF0810813121,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.00775,121.70136
21110806004,臺北水源特定區管理局,合法,整地,24.95097,121.72786
21110802004,臺北水源特定區管理局,合法,整地,24.95261,121.73359
80110801088,新北市,合法,其他,25.07129,121.78170
AF0210805014,新北市,違規,堆積土石,25.10934,121.30881
AF0210813067,新北市,合法,自然裸露地,25.11535,121.34534
AF0210813065,新北市,合法,自然裸露地,25.12922,121.35857
AF0210806024,新北市,合法,其他,25.09201,121.36001
21010813002,第十河川局,合法,其他,24.96477,121.38334
AF1510803003,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.88360,121.39852
AF0210814030,新北市,違規,違規農業使用,25.08125,121.39871
AF1510802032,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.88573,121.40060
AF0610801115,新北市,合法,其他,25.05185,121.41672
AF1510801021,新北市,合法,其他,24.91921,121.42058
AF0310806012,新北市,合法,其他,25.09851,121.42347
AF1510802045,新北市,違規,其他開挖整地,24.85999,121.44902
AF1910801037,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.96117,121.45838
AF2710814056,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.23176,121.46489
21110802002,臺北水源特定區管理局,合法,種植,24.77748,121.48676
F3010803003,新北市,合法,整地,25.26535,121.49247
21110802012,臺北水源特定區管理局,合法,其他,24.83030,121.52306
F0710802006,新北市,違規,新增建物,24.98232,121.53240
21110813005,臺北水源特定區管理局,合法,其他,24.93059,121.54227
21110802011,臺北水源特定區管理局,合法,其他,24.84867,121.55077
AF0710813089,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.95057,121.56371
AF3110814065,新北市,違規,超限利用,25.26744,121.57403
21110803003,臺北水源特定區管理局,合法,種植,24.94651,121.60746
21010813009,第十河川局,違規,種植,24.99964,121.61732
AF2610813026,新北市,合法,其他,25.14976,121.61795
AF2610813037,新北市,合法,其他,25.15015,121.63445
AF2610813024,新北市,合法,其他,25.18392,121.63520
AF2610802058,新北市,合法,其他,25.18140,121.64419
AF2810814015,新北市,違規,其他開挖整地,25.06487,121.64577
AF2610802055,新北市,合法,其他,25.18483,121.65218
21110805003,臺北水源特定區管理局,合法,種植,24.95541,121.68301
AF2810813050,新北市,合法,其他,25.04981,121.69659
21110815005,臺北水源特定區管理局,合法,其他,24.96340,121.70745
21110814020,臺北水源特定區管理局,合法,種植,24.95879,121.79277
AF2310801105,新北市,合法,其他,25.01244,121.81220
AF2310815042,新北市,合法,其他,25.02436,121.82632
AF2410814031,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.06535,121.88899
AF2410802086,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.06263,121.90593
AF2410802089,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.05766,121.90996
AF2410802092,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.01767,121.95324
AF2410801086,新北市,違規,設置公園、遊憩用地、運動場地或軍事訓練場,25.01143,122.00265
AF1610814039,新北市,合法,自然裸露地,24.96422,121.36213
F3210804006,新北市,違規,整地,25.14543,121.38846
AF3210804013,新北市,違規,其他開挖整地,25.11825,121.39590
AF1510803004,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.86026,121.39868
AF3210804011,新北市,違規,其他開挖整地,25.15078,121.42936
AF1510806004,新北市,合法,休閒農業開發案件,24.91827,121.43281
AF1510802028,新北市,合法,無道路可到達,24.91087,121.44453
AF1510802029,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.90934,121.44942
AF1510802030,新北市,違規,修建道路或溝渠(含鐵、公路),24.92069,121.47026
AF3010814001,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.24698,121.47593
AF2710801114,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.15989,121.49070
AF3010802005,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.20436,121.49981
AF3010801013,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.21239,121.50867
AF3010806001,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.26783,121.51321
AF3010804002,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.26418,121.53805
AF3110815050,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.27123,121.54929
AF0710801093,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.95577,121.56193
AF3110802135,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.26874,121.59562
AF2510802102,新北市,合法,其他,25.23799,121.59888
F2510805004,新北市,合法,自然植被改變,25.21654,121.63552
AF2810813048,新北市,合法,其他,25.05931,121.64437
21110814012,臺北水源特定區管理局,合法,種植,24.89890,121.67137
AF2610801048,新北市,合法,其他,25.19641,121.68805
21110804006,臺北水源特定區管理局,違規,其他,24.92770,121.69139
AF2810801058,新北市,合法,其他,25.06991,121.69506
AF2610804007,新北市,違規,其他開挖整地,25.17877,121.69579
21110814015,臺北水源特定區管理局,違規,其他,24.91383,121.70530
21110804003,臺北水源特定區管理局,違規,其他,24.97136,121.73966
AF2310813099,新北市,合法,其他,25.01734,121.78609
AF2210813061,新北市,合法,其他,25.07483,121.79385
21010814003,第十河川局,合法,其他,25.10551,121.82527
AF2410813075,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.05411,121.89973
AF0210806017,新北市,違規,堆積土石,25.11414,121.30444
AF0210805013,新北市,違規,其他開挖整地,25.12248,121.31473
AF0210806020,新北市,合法,自然裸露地,25.09772,121.37914
AF1510813011,新北市,合法,無道路可到達,24.85290,121.39190
AF3210815026,新北市,違規,堆積土石,25.10092,121.39854
AF3210801067,新北市,合法,其他,25.09643,121.39948
AF1510801033,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.86962,121.42886
AF1510814009,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.90902,121.42889
AF2710815046,新北市,合法,其他,25.22654,121.44102
AF2710814058,新北市,合法,非農業核准開發案件,25.18294,121.44177
AF1510802035,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.89334,121.45550
AF1910815011,新北市,合法,非農業核准開發案件,24.95903,121.46126
AF2710814060,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.18898,121.47037
AF3010801001,新北市,合法,其他,25.24545,121.48204
