變異點編號,權責單位,查證結果,變異類型,latitude,longitude
V0611201003,臺東縣,合法,河道變化,22.59393,120.98234
V0111201021,臺東縣,違規,新增建物,22.76858,121.07619
AV0511202001,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.44054,120.91523
AV1511201061,臺東縣,合法,其他,22.60103,120.98517
V0111203010,臺東縣,違規,整地,22.71440,121.06244
V0411201014,臺東縣,合法,整地,22.81436,121.08956
AV1011201029,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.14206,121.17975
208112013003,第八河川局,合法,整地,23.06999,121.19598
V1011201023,臺東縣,合法,道路變化,23.12718,121.20700
AV0711201032,臺東縣,合法,其他,22.91271,121.24786
AV0611202005,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.65210,120.98177
AV0611201015,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.63847,121.00452
V0111201006,臺東縣,合法,新增建物,22.71119,121.04209
AV0411201026,臺東縣,違規,整坡作業,22.77789,121.04647
V0111202010,臺東縣,違規,其他,22.76759,121.11267
20811201006,第八河川局,不屬於其管轄範圍,其他,23.02483,121.16585
AV0711201043,臺東縣,合法,其他,23.01859,121.29114
V0211201035,臺東縣,合法,其他,23.11088,121.37866
AV0611201017,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.50485,120.94844
V0611201002,臺東縣,違規,其他,22.60078,121.00805
V0411202006,臺東縣,合法,整地,22.70341,121.03155
AV1311201045,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.12838,121.13213
V1011201025,臺東縣,合法,作物變化,23.11577,121.19059
AV0611201014,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.65171,120.99670
AV0611202006,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.63799,121.00381
AV0311202024,臺東縣,合法,其他,23.02543,121.19738
V1011202012,臺東縣,合法,作物變化,23.13234,121.20861
AV0211201005,臺東縣,違規,違規農業使用,23.11225,121.36679
AV1411202010,臺東縣,合法,其他,22.47712,120.92016
AV1511202022,臺東縣,違規,未依核定計畫施工,22.64084,120.97121
V0111203009,臺東縣,違規,其他,22.71259,121.04412
AV1211201069,臺東縣,違規,違規農業使用,22.89612,121.07917
20811202001,第八河川局,合法,改變流路,23.13466,121.12099
AV1311201054,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.00848,121.13225
AV0411201023,臺東縣,合法,其他,22.86621,121.15679
AV1311202018,臺東縣,合法,非農業核准開發案件,23.09672,121.17580
V1011203029,臺東縣,合法,其他,23.09570,121.21638
AV0711201041,臺東縣,合法,其他,23.00105,121.26492
AV1511202021,臺東縣,合法,其他,22.64551,120.95809
AV1511202020,臺東縣,違規,整坡作業,22.65279,120.96028
V0611202008,臺東縣,違規,其他,22.68457,121.05732
AV0411201022,臺東縣,違規,整坡作業,22.85268,121.08718
AV1311201050,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.10877,121.17200
V1011201027,臺東縣,合法,其他,23.12139,121.23001
AV0711201030,臺東縣,合法,無道路可到達,22.95152,121.28570
AV0211201008,臺東縣,合法,政府單位興辦農路,23.02362,121.32785
V0411201015,臺東縣,合法,新增建物,22.77915,121.07713
AV1211202028,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.91212,121.09766
AV0211201006,臺東縣,違規,違規農業使用,23.10668,121.36212
V0211201034,臺東縣,合法,新增建物,23.16595,121.40309
AV1411201027,臺東縣,合法,其他,22.45952,120.90321
V0611202007,臺東縣,合法,整地,22.69643,121.04641
AV0411201019,臺東縣,合法,自然裸露地,22.86818,121.09176
V0111203040,臺東縣,合法,作物變化,22.75712,121.11933
AV1311201056,臺東縣,合法,治山防災工程,23.00625,121.12872
V0911201011,臺東縣,違規,傾倒廢棄物、土,22.90351,121.13672
AV1311201052,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.09136,121.16608
V0311201028,臺東縣,合法,其他,23.05097,121.18094
20911201001,第九河川局,合法,其他,23.16200,121.18766
V1011202014,臺東縣,合法,其他,23.11486,121.21068
AV0711201036,臺東縣,合法,無道路可到達,22.88576,121.22062
V0711201012,臺東縣,合法,新增建物,22.87927,121.23104
AV0711201031,臺東縣,合法,其他,22.91779,121.26133
AV1411202011,臺東縣,合法,其他,22.46667,120.92398
AV0611202003,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.46923,120.93782
20811201002,第八河川局,合法,其他,22.87861,121.05750
V0411201019,臺東縣,違規,傾倒廢棄物、土,22.77003,121.06185
AV0411201021,臺東縣,合法,自然裸露地,22.86356,121.08705
AV0411201020,臺東縣,合法,自然裸露地,22.87006,121.09819
AV1211201067,臺東縣,違規,整坡作業,22.97801,121.10424
V0111203005,臺東縣,合法,自然植被改變,22.74019,121.11355
AV1311201051,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.09307,121.16640
AV1311202019,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.09614,121.17483
AV0311201066,臺東縣,合法,其他,23.00708,121.18153
V0511201001,臺東縣,違規,新增建物,22.45770,120.92185
AV0611201013,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.65579,120.97862
21511201050,臺東縣,合法,各目的事業主管機關興建之防洪、蓄水或禦潮工程,22.59393,120.98234
V0411201017,臺東縣,合法,新增建物,22.78328,121.09275
V0111203007,臺東縣,合法,作物變化,22.73510,121.11444
20811201007,第八河川局,不屬於其管轄範圍,其他,23.00625,121.12872
V0311201029,臺東縣,合法,整地,23.02483,121.16585
V0611202002,臺東縣,合法,整地,22.60524,121.00448
AV1211202026,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.91119,121.08248
AV1311201055,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.00499,121.12606
AV1311201046,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.12805,121.13141
V0111202005,臺東縣,違規,其他,22.73389,121.13844
AV1311202015,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.13071,121.14824
AV0711202014,臺東縣,合法,其他,22.88126,121.19915
V0711201033,臺東縣,違規,其他,22.91440,121.25989
AV0211201007,臺東縣,違規,其他開挖整地,23.03584,121.32783
V0411201018,臺東縣,合法,整地,22.79806,121.09368
AV0911201057,臺東縣,合法,其他,22.93118,121.11528
V0111201007,臺東縣,違規,新增建物,22.72226,121.12489
V0911201009,臺東縣,合法,其他,22.96666,121.17223
AV0711201033,臺東縣,違規,違規農業使用,22.90436,121.25532
AV1511201060,臺東縣,違規,其他開挖整地,22.62572,120.96806
AV0411201025,臺東縣,違規,整坡作業,22.80656,121.05648
V0111202009,臺東縣,違規,其他,22.76476,121.11298
V0111202004,臺東縣,合法,自然植被改變,22.74024,121.11334
208112013006,第八河川局,不屬於其管轄範圍,其他,22.88393,121.12663
V0311201030,臺東縣,合法,新增建物,22.99993,121.13603
208112023001,第八河川局,合法,整地,23.04431,121.18095
AV0711201040,臺東縣,合法,其他,23.02395,121.27373
AV0711201038,臺東縣,合法,其他,23.09681,121.30142
AV1211201068,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.88936,121.05552
AV1311201049,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.12194,121.15398
AV0711201035,臺東縣,合法,其他,22.88630,121.22734
V0211202011,臺東縣,合法,自然植被改變,23.08639,121.35742
AV0211201001,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.16483,121.39765
V0111202003,臺東縣,違規,新增建物,22.72371,121.12685
V0911201010,臺東縣,合法,作物變化,22.94691,121.14791
AV1311202016,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.12983,121.15024
