變異點編號,權責單位,查證結果,變異類型,latitude,longitude
B06990100003,臺中市,合法,其他,24.17000,120.64000
L15990100018,臺中市,違規,新增建物,24.05000,120.65000
L09990100004,臺中市,合法,其他,24.22000,120.65000
L20990100015,臺中市,違規,其他,24.08000,120.67000
L07980500010,臺中市,違規,新增建物,24.27000,120.69000
L03980700008,臺中市,合法,新增建物,24.41000,120.64000
L09990100003,臺中市,合法,新增建物,24.23000,120.67000
L19990100009,臺中市,合法,新增建物,24.14000,120.71000
332990100001,東勢林區管理處,合法,整地,24.28000,120.95000
L06990100001,臺中市,合法,新增建物,24.23000,120.55000
L15990100012,臺中市,違規,新增建物,24.11000,120.59000
L10990100006,臺中市,合法,道路變化,24.20000,120.71000
203990100006,第三河川局,合法,新增建物,24.25000,120.83000
L15990100014,臺中市,違規,新增建物,24.08000,120.65000
L03980700007,臺中市,合法,其他,24.41000,120.65000
L07980700013,臺中市,合法,整地,24.28000,120.69000
L16990100008,臺中市,合法,其他,24.13000,120.56000
L18980700006,臺中市,合法,其他,24.05000,120.68000
L07980500003,臺中市,違規,新增建物,24.24000,120.68000
L17980500001,臺中市,合法,新增建物,24.23000,120.50000
B06980700001,臺中市,合法,新增建物,24.20000,120.64000
L20990100016,臺中市,合法,其他,24.08000,120.68000
L07980500006,臺中市,違規,其他,24.28000,120.68000
L07990100023,臺中市,合法,其他,24.28000,120.71000
L17980700002,臺中市,合法,新增建物,24.22000,120.53000
L09980700004,臺中市,違規,新增建物,24.22000,120.66000
L07980700015,臺中市,合法,新增建物,24.25000,120.70000
L01980500008,臺中市,合法,新增建物,24.28000,120.71000
L10990100007,臺中市,合法,整地,24.19000,120.72000
L09990100002,臺中市,合法,其他,24.23000,120.65000
L07980500005,臺中市,違規,新增建物,24.28000,120.68000
B08990100001,臺中市,合法,整地,24.18000,120.71000
L08980700011,臺中市,合法,新增建物,24.32000,120.73000
L01980500011,臺中市,合法,新增建物,24.27000,120.75000
L16980700005,臺中市,違規,新增建物,24.14000,120.54000
B08990100005,臺中市,合法,新增建物,24.16000,120.73000
B08990100004,臺中市,合法,新增建物,24.17000,120.72000
L04980500004,臺中市,違規,新增建物,24.29000,120.58000
L18990100019,臺中市,合法,新增建物,24.07000,120.71000
L10990100005,臺中市,合法,道路變化,24.20000,120.71000
334980700001,東勢林區管理處,合法,新增建物,24.20000,121.00000
L17980500002,臺中市,合法,新增建物,24.23000,120.50000
B07990100007,臺中市,合法,整地,24.14000,120.62000
L15990100017,臺中市,違規,新增建物,24.06000,120.64000
L05990100024,臺中市,合法,其他,24.25000,120.56000
L16990100011,臺中市,合法,其他,24.12000,120.57000
L05980700014,臺中市,違規,新增建物,24.25000,120.59000
L19990100013,臺中市,合法,新增建物,24.12000,120.72000
203980500001,第三河川局,合法,移除建物,24.28000,120.72000
L02990100027,臺中市,合法,新增建物,24.26000,120.83000
L04990100022,臺中市,合法,整地,24.31000,120.53000
L13980700010,臺中市,合法,其他,24.32000,120.63000
L14980700009,臺中市,違規,整地,24.38000,120.63000
B08980700002,臺中市,違規,新增建物,24.19000,120.70000
L21990100028,臺中市,合法,道路變化,24.34000,121.31000
L17980700003,臺中市,合法,其他,24.20000,120.52000
B08990100002,臺中市,合法,自然植被改變,24.18000,120.73000
L06980700001,臺中市,合法,新增建物,24.22000,120.53000
L04980700012,臺中港務分公司,合法,新增建物,24.28000,120.54000
111990100001,城鄉發展分署,違規,整地,24.39000,120.64000
B06980500001,臺中市,合法,新增建物,24.20000,120.65000
L03990100020,臺中市,合法,河道變化,24.41000,120.61000
L07980500007,臺中市,違規,新增建物,24.27000,120.71000
L19990100010,臺中市,合法,新增建物,24.13000,120.74000
B07990100006,臺中市,合法,整地,24.14000,120.63000
