變異點編號,權責單位,查證結果,變異類型,latitude,longitude
U031011000001,花蓮縣,合法,道路變化,23.40000,121.34000
U071010400010,花蓮縣,合法,作物變化,23.68000,121.45000
U051020100007,花蓮縣,合法,整地,23.94000,121.60000
U031020100003,花蓮縣,合法,其他,23.39000,121.33000
U031010700001,花蓮縣,違規,整地,23.33000,121.32000
U031020100001,花蓮縣,合法,道路變化,23.40000,121.34000
U071010700004,花蓮縣,違規,其他,23.80000,121.48000
3841010400001,花蓮林區管理處,合法,自然植被改變,23.48000,121.47000
U031010400005,花蓮縣,合法,作物變化,23.43000,121.37000
U071010400009,花蓮縣,合法,作物變化,23.68000,121.45000
U051010700006,花蓮縣,合法,整地,23.98000,121.56000
U051020100009,花蓮縣,合法,作物變化,23.94000,121.59000
U051010700007,花蓮縣,合法,道路變化,23.93000,121.59000
U021011000004,花蓮縣,合法,其他,23.63000,121.40000
3141011000005,羅東林區管理處,合法,天災,24.31000,121.56000
U041011000007,花蓮縣,合法,新增建物,24.05000,121.60000
U011020102010,花蓮縣,合法,新增人工構造物,23.98000,121.61000
U041011000008,花蓮縣,違規,其他,24.03000,121.60000
U031010400006,花蓮縣,合法,作物變化,23.43000,121.37000
U071010700002,花蓮縣,合法,其他,23.70000,121.41000
1111010700001,城鄉發展分署,合法,新增建物,23.80000,121.46000
U031020100002,花蓮縣,合法,其他,23.39000,121.33000
U031020100004,花蓮縣,合法,其他,23.40000,121.33000
U131010700008,花蓮縣,違規,新增建物,24.09000,121.61000
U071010400007,花蓮縣,違規,新增建物,23.72000,121.47000
U021010400011,花蓮縣,違規,新增建物,23.68000,121.48000
U101010400001,花蓮縣,合法,其他,23.15000,121.24000
U091010400003,花蓮縣,違規,新增建物,23.49000,121.37000
U091010400002,花蓮縣,違規,其他,23.50000,121.37000
U031011000002,花蓮縣,合法,道路變化,23.40000,121.33000
1031020100001,太魯閣,合法,其他,24.20000,121.48000
U021010700003,花蓮縣,合法,其他,23.64000,121.39000
U071011000003,花蓮縣,合法,其他,23.70000,121.41000
U051020100006,花蓮縣,合法,整地,23.94000,121.60000
U061011000005,花蓮縣,合法,其他,23.86000,121.50000
U061011000006,花蓮縣,違規,其他,23.88000,121.55000
U051020100008,花蓮縣,合法,整地,23.94000,121.60000
3811011000001,花蓮林區管理處,合法,天災,24.28000,121.75000
U091020100005,花蓮縣,合法,其他,23.52000,121.38000
U071010400008,花蓮縣,違規,其他,23.71000,121.47000
