變異點編號,權責單位,查證結果,變異類型,latitude,longitude
80110301037,新竹縣,合法,整地,24.75000,121.04000
AJ1110301396,新竹縣,合法,自然裸露地,24.72360,121.04073
J0210301024,新竹縣,合法,整地,24.78000,121.05000
AJ0210301494,新竹縣,合法,自然裸露地,24.77512,121.05118
AJ1210306026,新竹縣,合法,其他,24.72570,121.06398
AJ1210301416,新竹縣,合法,其他,24.69341,121.07709
AJ1210301418,新竹縣,合法,其他,24.68855,121.07955
AJ0210306058,新竹縣,合法,其他,24.66531,121.09092
AJ1510301445,新竹縣,違規,其他開挖整地,24.58701,121.09442
AJ1510306041,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.57867,121.11422
AJ0610301457,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.87962,121.11731
J0310302013,新竹縣,合法,作物變化,24.81000,121.12000
80110301030,新竹縣,合法,作物變化,24.88000,121.12000
AJ0410301480,新竹縣,違規,其他開挖整地,24.84535,121.12522
AJ1510301428,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.65529,121.12880
AJ0810302003,新竹縣,合法,其他,24.71601,121.14568
AJ0410301471,新竹縣,合法,其他,24.86721,121.14887
J1410305001,新竹縣,合法,其他,24.64000,121.20000
AJ1410306009,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.73866,121.22499
AJ1410305007,新竹縣,合法,無道路可到達,24.74138,121.23463
AJ1410304003,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.64400,121.28459
AJ1410301529,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.66941,121.33060
AJ1110301330,新竹縣,違規,其他開挖整地,24.72092,120.95662
AJ1310305039,新竹縣,違規,其他開挖整地,24.69924,121.00661
J0910301004,新竹縣,合法,整地,24.93000,121.03000
J0910305002,新竹縣,合法,整地,24.94000,121.03000
J0610305003,新竹縣,合法,其他,24.93000,121.06000
AJ1410306008,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.72764,121.21837
AJ1410306010,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.74143,121.23469
80110301036,新竹縣,合法,道路變化,24.75000,121.01000
J0510301019,新竹縣,合法,新增建物,24.82000,121.03000
AJ0410303016,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.84496,121.03326
J0610305005,新竹縣,合法,其他,24.88000,121.06000
J0610302003,新竹縣,合法,整地,24.93000,121.06000
AJ1510301446,新竹縣,合法,其他,24.59268,121.10333
AJ0310301481,新竹縣,違規,堆積土石,24.82492,121.11906
AJ1510306037,新竹縣,合法,其他,24.65734,121.15191
AJ0410306047,新竹縣,合法,其他,24.85911,121.15466
AJ1410305012,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.68440,121.20870
AJ1410301424,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.69107,121.20977
AJ0310302011,新竹縣,違規,其他開挖整地,24.80387,121.21047
AJ1410305008,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.71952,121.25762
32210301004,新竹林區管理處,合法,自然植被改變,24.43000,121.26000
AJ1410306004,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.71059,121.28062
AJ1410304004,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.61559,121.29296
AJ1410301535,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.64753,121.32705
AJ1110306053,新竹縣,違規,其他開挖整地,24.72920,121.02379
AJ1110301395,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.72852,121.02469
J0410301018,新竹縣,合法,整地,24.83000,121.07000
AJ0610305020,新竹縣,違規,堆積土石,24.88767,121.10579
AJ1410301422,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.69080,121.20773
AJ1410301401,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.73432,121.21732
AJ0310305037,新竹縣,合法,非農業核准開發案件,24.79041,121.23128
AJ1410305011,新竹縣,合法,無道路可到達,24.69709,121.23263
AJ1410306022,新竹縣,合法,政府單位興辦農路,24.67755,121.24686
AJ1410302016,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.68767,121.26173
AJ1410302014,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.71034,121.28069
J0910303001,新竹縣,合法,道路變化,24.91000,120.98000
AJ1110301501,新竹縣,合法,非農業核准開發案件,24.75091,121.01412
AJ1110301394,新竹縣,違規,其他開挖整地,24.72493,121.02495
J0910302001,新竹縣,合法,其他,24.94000,121.03000
J0610301014,新竹縣,違規,新增建物,24.89000,121.05000
AJ0210306060,新竹縣,合法,其他,24.75106,121.05892
AJ0410301468,新竹縣,違規,其他開挖整地,24.85077,121.06106
AJ0610305022,新竹縣,合法,治山防災工程,24.87783,121.11380
AJ1510306036,新竹縣,合法,治山防災工程,24.65415,121.13259
AJ1410305017,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.66729,121.17122
AJ0310301483,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.82743,121.17180
AJ1410305018,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.65864,121.19325
AJ1410301432,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.66534,121.19944
AJ0310301492,新竹縣,違規,其他開挖整地,24.80398,121.21027
AJ1410301525,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.67272,121.27228
AJ1410304006,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.60778,121.30418
AJ1410301530,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.66968,121.31813
AJ0610301456,新竹縣,違規,開發建築用地,24.87421,121.09471
AJ0310301491,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.80137,121.13297
AJ0410301473,新竹縣,合法,其他,24.87160,121.13751
AJ1510305025,新竹縣,合法,其他,24.65395,121.14139
AJ1410301421,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.69238,121.16704
AJ1410302005,新竹縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.66502,121.19942
