變異點編號,權責單位,查證結果,變異類型,latitude,longitude
21511301075,彰化縣,合法,其他,24.101212597306300,120.386335816048000
21511301074,彰化縣,合法,其他,24.136106376458300,120.435935549361000
N0911301070,彰化縣,違規,其他,24.129614525909800,120.454480402148000
N0911301077,彰化縣,違規,整地,24.112091262172500,120.472230797118000
N0911301071,彰化縣,違規,新增建物,24.137420380895000,120.473830100599000
N0911301076,彰化縣,違規,新增建物,24.114123222293100,120.481268355116000
N2111301129,彰化縣,違規,新增建物,23.907858129377600,120.523642207570000
N1511301170,彰化縣,違規,新增建物,24.006124786445400,120.529710173214000
N2111301134,彰化縣,違規,新增建物,23.901430314789700,120.533723501975000
N2111301133,彰化縣,違規,新增建物,23.902396027274500,120.534864499217000
N1511301113,彰化縣,違規,其他,23.976120147033600,120.535106959338000
N1511301111,彰化縣,違規,新增建物,23.994668041669800,120.536724128393000
N1511301174,彰化縣,違規,新增建物,24.001894240643500,120.539694366867000
AN0111301002,彰化縣,合法,其他,24.075767986625900,120.553640610778000
N1511301177,彰化縣,合法,整地,24.002381016895400,120.558802918410000
204113013005,第四河川分署,合法,種植,23.803479699368000,120.565040308181000
N1511301115,彰化縣,合法,整地,23.974069293922300,120.565843756231000
AN0111301004,彰化縣,違規,其他開挖整地,24.068664926861300,120.576859112497000
N1511301178,彰化縣,合法,作物變化,23.998568443808800,120.577987592490000
AN0111301003,彰化縣,合法,其他,24.074599569704600,120.579157232466000
N1911301136,彰化縣,合法,自然植被改變,23.919790221767600,120.588832562649000
AN0111301006,彰化縣,合法,自然裸露地,24.054912044524600,120.590798277406000
AN0111301005,彰化縣,合法,其他,24.059739126234000,120.592588107861000
204113013007,第四河川分署,已知工程,工程施作,23.793982403182200,120.609553021087000
204113013006,第四河川分署,合法,其他,23.808836112602300,120.612879960234000
AN1411301008,彰化縣,違規,其他開挖整地,23.993576619236500,120.615921912048000
AN1411301012,彰化縣,違規,處理廢棄物,24.027524332655800,120.617154575159000
AN1411301009,彰化縣,違規,其他開挖整地,23.996235070315000,120.618151567640000
AN1411301013,彰化縣,違規,其他開挖整地,24.013247963359200,120.621983811568000
AN1411301010,彰化縣,違規,堆積土石,23.974821365545900,120.629339432464000
AN1411301011,彰化縣,違規,其他開挖整地,23.974214748146300,120.629887697162000
