變異點編號,權責單位,查證結果,變異類型,latitude,longitude
J0911401005,新竹縣,合法,整地,24.897737333432000,120.986462629907000
AJ0511401039,新竹縣,合法,其他,24.863405991118400,120.979872987824000
20211401012,第二河川分署,不屬於其管轄範圍,其他,24.688727594112800,121.032207018920000
20211401015,第二河川分署,不屬於其管轄範圍,其他,24.838771668868400,121.099614688611000
20211401016,第二河川分署,不屬於其管轄範圍,其他,24.688727594112800,121.032207018920000
20211401014,第二河川分署,不屬於其管轄範圍,其他,24.834755810490600,121.037383377908000
J0911401003,新竹縣,違規,新增建物,24.904329347451900,120.986267662766000
20211401003,第二河川分署,合法,其他,24.725275742116600,121.103978160656000
J0411401038,新竹縣,違規,新增建物,24.834755810490600,121.037383377908000
20211401013,第二河川分署,不屬於其管轄範圍,其他,24.837633948982500,121.037947035547000
J0411401040,新竹縣,合法,作物變化,24.815089379941400,121.079586303474000
20211401004,第二河川分署,合法,其他,24.729033292020400,121.105436956290000
20211401010,第二河川分署,不屬於其管轄範圍,其他,24.857770604087400,120.982006179356000
J0911401006,新竹縣,違規,新增建物,24.881471551584100,120.994083740820000
J1311401022,新竹縣,合法,新增建物,24.688727594112800,121.032207018920000
J0411401037,新竹縣,違規,新增建物,24.837633948982500,121.037947035547000
J0411401039,新竹縣,合法,新增建物,24.838771668868400,121.099614688611000
