變異點編號,權責單位,查證結果,變異類型,latitude,longitude,created,modified
21011503007,第十河川分署,已知工程,工程施作,25.095457380530400,121.703338434015000,"2026-03-26 02:00:10",
AC0111503004,基隆市,非違規,治山防災工程,25.139176011091300,121.802231667638000,"2026-04-02 02:00:12",
AC0111503005,基隆市,非違規,平地範圍,25.136738681861900,121.801771257283000,"2026-04-02 02:00:12",
AC0211503001,基隆市,非違規,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.139320141706000,121.682323475718000,"2026-03-28 02:00:10",
AC0211503002,基隆市,違規,修建道路或溝渠(含鐵、公路),25.074601041575400,121.687786339082000,"2026-04-08 02:00:12",
AC0211503003,基隆市,非違規,治山防災工程,25.096269633170700,121.697826742743000,"2026-03-31 02:00:11",
AC0211504002,基隆市,非違規,其他,25.119658666665100,121.714295804270000,"2026-04-17 02:00:11",
AC0211504003,基隆市,非違規,其他,25.097704411933000,121.675110069220000,"2026-04-17 02:00:11",
AC0311503008,基隆市,非違規,非農業核准開發案件,25.107875190827500,121.750383083636000,"2026-03-27 02:00:10",
AC0311504013,基隆市,非違規,非農業核准開發案件,25.103529468953200,121.746073201855000,"2026-04-17 02:00:11",
AC0311504014,基隆市,違規,其他開挖整地,25.102501239490300,121.735357293535000,"2026-04-17 02:00:11",
AC0311504015,基隆市,非違規,非農業核准開發案件,25.107313698748200,121.750750251048000,"2026-04-17 02:00:11",
AC0511503006,基隆市,非違規,其他,25.157643440934600,121.730757964715000,"2026-03-28 02:00:10",
AC0511504009,基隆市,非違規,平地範圍,25.158907631940300,121.719777175657000,"2026-04-16 02:00:14",
AC0511504010,基隆市,非違規,平地範圍,25.133970302637400,121.737460201039000,"2026-04-16 02:00:14",
AC0611501001,基隆市,非違規,非農業核准開發案件,25.151873632761000,121.717574141032000,"2026-01-28 02:00:09",
AC0611503007,基隆市,非違規,非農業核准開發案件,25.122325431222300,121.716992548845000,"2026-04-02 02:00:12",
AC0611504011,基隆市,非違規,非農業核准開發案件,25.137527345427400,121.709382158222000,"2026-04-17 02:00:11",
AC0611504012,基隆市,非違規,其他,25.128878197415900,121.715247829318000,"2026-04-17 02:00:11",
AC0711503009,基隆市,非違規,非農業核准開發案件,25.134436107604700,121.764260948289000,"2026-03-26 02:00:10",
AC0711503010,基隆市,非違規,非農業核准開發案件,25.121082758501400,121.767064622585000,"2026-03-26 02:00:10","2026-04-04 02:00:11"
AC0711503011,基隆市,違規,堆積土石,25.117596606493700,121.796021716418000,"2026-03-28 02:00:10",
